code_x,nom,pop_2013,pop_2017,pop_2018,superficie,densite,pib_2015,pib_2005,pib_2000,code_y,nb_commune,pop_municipale,hab_m,rmoyen,décla,taxe_om,impot
59, N o r d ,2595536,2604361,2606234,5743,454,,23567,19794,59,650,2579208,3968,2427,24887,"18,07",3414
75, P a r i s ,2229621,2187526,2175601,105,20641,96400,75439,67502,75,1,2249975,2249975,4007,48301,"13,50",11750
13, B o u c h e s - d u - R h ô n e ,1993177,2024162,2034357,5087,400,34200,27818,23521,13,119,1975896,16604,2570,26751,"21,06",3996
93, S e i n e - S a i n t - D e n i s ,1552482,1623111,1632677,236,6912,38900,27420,23305,93,40,1529928,38248,2398,21768,"21,91",3095
92, H a u t s - d e - S e i n e ,1591403,1609306,1619120,176,9221,97500,73277,62244,92,36,1581628,43934,3885,45966,"16,04",9162
33, G i r o n d e ,1505517,1583384,1601845,9976,161,32300,27452,23672,33,542,1463662,2700,2492,27960,"18,47",3682
78, Y v e l i n e s ,1418484,1438266,1441398,2284,631,39000,30507,27211,78,262,1413635,5396,3589,40281,"12,84",6761
77, S e i n e - e t - M a r n e ,1365200,1403997,1412516,5915,239,,23480,20280,77,514,1338427,2604,2710,29393,"18,67",3633
44, L o i r e - A t l a n t i q u e ,1328620,1394909,1412502,6874,206,33500,27310,23627,44,221,1296364,5866,2474,28686,"19,08",3240
94, V a l - d e - M a r n e ,1354005,1387926,1396913,245,5702,41500,29250,24785,94,47,1333702,28377,2952,31504,"21,23",5073
31, H a u t e - G a r o n n e ,1298562,1362672,1380672,6309,219,39400,29869,25420,31,589,1260226,2140,2742,29090,"11,69",3932
91, E s s o n n e ,1253931,1296130,1296641,1804,719,37300,26718,23460,91,196,1225191,6251,2915,31840,"15,51",4270
38, I s è r e ,1235387,1258722,1263563,7432,170,,26355,23427,38,533,1215212,2280,2619,28777,"18,80",3262
76, S e i n e - M a r i t i m e ,1254609,1254378,1255883,6278,200,,26583,23197,76,745,1251282,1680,2456,25618,"16,38",3102
95, V a l - d ' O i s e ,1194681,1228618,1238581,1246,994,,25765,22441,95,185,1180365,6380,2746,28586,"14,42",3941
34, H é r a u l t ,1092331,1144892,1159220,6101,190,,22999,19481,34,343,1062036,3096,2370,24936,"18,38",3516
67, B a s - R h i n ,1109460,1125559,1133552,4755,238,32700,26815,24515,67,527,1099269,2086,2457,28503,"11,13",3554
06, A l p e s - M a r i t i m e s ,1080771,1083310,1086219,4299,253,33300,27723,23101,06,163,1081244,6633,2537,29235,"11,67",4455
35, I l l e - e t - V i l a i n e ,1019923,1060199,1069228,6775,158,32200,27788,23150,35,353,996439,2823,2391,28135,"16,96",3145
83, V a r ,1028583,1058740,1067697,5973,179,,22915,18902,83,153,1012735,6619,2331,27279,"16,34",3603
57, M o s e l l e ,1046873,1043522,1043524,6216,168,,22643,19644,57,730,1045146,1432,2332,26278,"11,35",2849
29, F i n i s t è r e ,903921,909028,911735,6733,135,,24094,20317,29,283,899870,3180,2249,26126,"18,52",2647
60, O i s e ,815400,824503,827153,5860,141,,22656,20327,60,693,805642,1163,2570,27553,"20,78",3473
74, H a u t e - S a v o i e ,769677,807360,816699,4388,186,29000,26935,24048,74,294,746994,2541,2444,36698,"11,78",3654
49, M a i n e - e t - L o i r e ,800191,813493,815883,7107,115,,22743,19648,49,357,790343,2214,2233,25966,"21,29",2529
68, H a u t - R h i n ,758723,764030,764981,3525,217,,23927,22264,68,377,753056,1997,2377,30673,"11,53",4006
42, L o i r e ,756715,762941,763441,4781,160,,22160,18885,42,327,749053,2291,2300,24881,"14,14",2608
